0,1,2,3
101007,noodles,chinese,jpg
101021,samosa,snacks,jpg
101042,burger,snacks,png
101063,momos,snacks,jpg
101091,malpua,snacks,jpg
101098,kadhi,gujarati,jpg
101105,ghughra,sweets,jpg
101112,dal_batti,dishes,jpg
101126,poha,others,jpg
101154,cheese_puff,snacks,jpg
101175,dal_makhani,punjabi,jpg
101203,dhokla,gujarati,jpg
101210,dosa,southindian,jpg
101224,khichdi,gujarati,jpg
101245,handwo,gujarati,jpg
101252,idlisambhar,southindian,jpg
101259,khandvi,gujarati,jpg
101266,litti_chokha,others,jpg
101273,sevkhamni,gujarati,jpg
101280,manchurian,chinese,jpg
101287,meduvada,southindian,jpg
101315,paneer,punjabi,jpg
101322,cheese_nuggets,others,jpg
101336,pasta,others,jpeg
101343,ghughra,gujarati,jpeg
101350,pongal,southindian,jpg
101364,rajma_chawal,dishes,jpg
101371,french_fries,snacks,jpg
101378,pakode,others,jpg
101385,sandwich,snacks,jpg
101392,sev_usal,others,jpg
101413,uttapan,southindian,jpg
101420,vada_pav,others,jpg
101500,chinese_bhel,chinese,jpg
101507,shup,others,jpg
101514,dabeli,snacks,jpg
101521,fafda_jalebi,gujarati,png
101528,gulab_jamun,sweets,jpeg
101535,kheer,sweets,jpg
101542,pizza,others,jpg
101549,ras_gulla,sweets,jpg
101556,ras_malai,sweets,jpg
101563,sandesh,sweets,jpg
101570,spring_rolls,chinese,jpg
101577,wraps,others,jpg
101600,aloo_paratha,punjabi,jpg
101607,chole_bhature,dishes,jpg
101614,gujarati,dishes,jpg
101621,punjabi,dishes,png
101628,lassi,punjabi,jpg
101635,makki_di roti_sarson_ka_saag,dishes,jpg
101642,pav_bhaji,dishes,jpeg
101649,kadhyawadi,dishes,jpeg
101656,puri_and_aloo_sabji,dishes,jpg
101663,upma,snacks,jpg
